"name","title","params_text"
Procurement,Part Replacement,It means can be equal to or substantially equal to the value of another commodity product using it to
Procurement,Part Short Description,The short description of the product Synnex bring in from Vendor.  When buyer set up the new part in
Procurement,Past Due ETA,<p>Past Due ETA means the ETA Date on PO is less than today.<\/p>
Procurement,PDSS,<p>PDSS<\/p>
Procurement,PDSS cat1,Description:  Category 1 indicates detailed management of the forecast and applies to SKUs that are n
Procurement,PDSS cat2,Category 2
Procurement,PO EDI Release,PO EDI Release is widely used for daily POs.
Procurement,PO Freight,"1"
Procurement,PO Maker,print the PO to a PDF file
Procurement,PO Manual Release,Manual release order just sent to our system vendor haven't receive
Procurement,PO PDF Release,PO PDF Release a method of sending PO to vendor.
Procurement,PO Queue,It is a tool to place orders in SYNNEX system. Buyer fill in template and then system can create orde
Procurement,PO Ship Meth,PO Ship Meth
Procurement,PO Ship Terms,<p>PO Ship Terms<\/p>
Procurement,PPDC Code,PPDC code
Procurement,Price Effective Date,The Price Effective Date is the date on which a price change takes effect.
Procurement,Product Code,<p>Product code also can be called as PM code. Every product is categorized by Synnex product manager<\/p>
Procurement,RMA Warehouse,receiving the return from customer
Procurement,RTVC,vendor return for credit (order type 12)
Procurement,Run Rate ,<p>Run Rate is the shipment rate which means the rate of the products are sold and also shipped out from warehouse.<\/p>
Procurement,Set up New Part,<p style=\
Procurement,Sheet Price,<p class=\
Procurement,Source Status,<p class=\
Procurement,Spike For Inventory,<p class=\
Procurement,Stock Out for Inventory,<p>&nbsp;<\/p>\n<p class=\
Procurement,Stock Rotation,<p><span lang=\
Procurement,Street Date,<p style=\
Procurement,SYNNEX RMA ,Synnex rma
Procurement,System Cost,System cost is the base cost in our system as well as the unit cost for sales. It is calculated by ba
Procurement,Transaction Register Query(DTRD) ,<p>Transaction Register Query (DTRD)<\/p>
Procurement,Transit Time,""
Procurement,Variance Maintenance,"It is the function to maintain variance in Central, which ensures POCV to process with the correct pr"
Procurement,Vendor Number,<p>numeric code for vendors<\/p>
Procurement,Vendor Segment,"<p>The field in vendor maintenance to decide what type, class and segmentation the vendor belongs to.<\/p>"
Procurement,VPL Code,.
Procurement,WTD Run Rate,""
Procurement,Allocated Quantity,Allocated Quantity
Procurement,Available Quantity,Available Quantity
Procurement,Available For Sell,<p>Available For Sell<\/p>
Procurement,Bill of Lading (BOL),<p>BOL<\/p>
Procurement,CTO,Configure to order
Procurement,Inventory Aging,Inventory Aging means how long the product has been stored in the warehouse.
Procurement,POCV,<p>.<\/p>
Procurement,Product Type,"it is a necessary factor when set up new parts, it decides attribute for new parts. there are 3 kinds"
Procurement,Red tag,<p>create red tag SKU for the product that damaged or open box in transit Red Tag SKUs are Assembly SKU<\/p>
Procurement,Serial# Flag ,<p style=\
Procurement,Stock Keeping Unit ,<p class=\
Procurement,TD SYNNEX Part Number,""
Procurement,UPC Code,<p>UPC--- It stands for Universal Product Code.<\/p>
Procurement,VPC Code,.
Procurement,Manufacture Part Number,A code or number used by a manufacturer or vendor to identify a material or part.
Procurement,Price Protection,<h3 class=\
Procurement,Purchase Order (PO),<p>&nbsp;<\/p>\n<p style=\
Procurement,RTVN,""
Procurement,Serial Number,<h4 style=\
Procurement,Suggest Buy,<p><strong style=\
Procurement,Tracking#,Tracking#
Procurement,Vendor Return,The process of returning products back to a vendor.
Procurement,SkuProfile,<h4 style=\
Procurement,Part Upload,New Part Upload
Procurement,Part Batch Update,Use this function to update the part attributes by batch.
Procurement,Part 52 Weeks Runrate,This is 52 weeks run rate for the part.
Procurement,Product Profile,<h3 style=\
Procurement,POCV Var,<p>POCV Var<\/p>
Procurement,POCV Preview Cost,POCV Preview Cost
Procurement,POCV Query,POCV Query
Procurement,Vendor Status Lookup,Vendor Status Lookup
Procurement,Vendor Management,<p>Vendor&nbsp;Management<\/p>
Procurement,MT batch Queue,<p>MT Batch Queue<\/p>
Procurement,MT Upload,<p>MT upload<\/p>
Procurement,PO Fulfillment,<p>PO Fulfillment will only gives you the MSO\/BO data that are available to create PO. when the order is<\/p>
Procurement,PO Discount Maintenance,PO Discount Maintenance is used to maintain those discount informations that can be used on Purchase
Procurement,PO Review,<p>PO Review is a kind of checking process. It is used to validate the Purchase Order before it\u2019s released.<\/p>
Procurement,P1 PO Look Up,<p>P1 PO Look Up is a searching tool. It is used to query purchase order by different conditions.<\/p>
Procurement,Product Attributes,<h4 style=\
Procurement,Dell Forecast Report,<p class=\
Procurement,Dell Forecast Report,<p>Description is the same as above.<\/p>
Sales Management,Sales Order,""
Sales Management,Credit Release,""
Sales Management,Customer Type,""
Sales Management,Direct Ship,""
Sales Management,Dock-To-Stock,""
Sales Management,EMS,<p>Electronic Manufacturing Services<\/p>
Sales Management,Field Min,""
Sales Management,Fulfillment,""
Sales Management,Intranet,""
Sales Management,Large Order,""
Sales Management,Lost Sales,""
Sales Management,Materials Requirement Planning,""
Sales Management,MSO,""
Sales Management,MSP,""
Sales Management,NL,""
Sales Management,Open Order Status,""
Sales Management,Order Quantity Details,""
Sales Management,Order Quantity Header,""
Sales Management,Order Status,""
Sales Management,OSP,""
Sales Management,Overnight,""
Sales Management,Overweight ,""
Sales Management,Parts Location,""
Sales Management,PCE,""
Sales Management,Pick Date,""
Sales Management,POE,""
Sales Management,Primary Contacts,""
Sales Management,Production Flag,""
Sales Management,Queue,""
Sales Management,RMA Disposition,""
